,log_revenue
1048,19.520626919264668
1072,15.76142084987672
1685,19.550331354719273
3751,17.761970013037892
3468,17.761970013037892
234,19.413777797586818
2775,16.446377509243835
1570,18.471351386532508
3613,16.243936534782325
2093,14.691608680547064
2352,17.11533800654742
2771,17.901827971998
98,17.666551398915225
735,18.689076000754262
1351,19.355600210458668
162,19.78146746368613
2556,16.18452382308035
3510,17.761970013037892
3905,17.761970013037892
63,19.606423974684137
573,19.382222986339787
275,19.80713200276317
2746,17.200119949842012
2177,19.189231549802027
2735,17.761970013037892
1097,16.767942821335026
105,20.69359177064222
2703,17.761970013037892
2348,17.716875062846277
3871,17.761970013037892
1268,18.080365434176297
2871,17.058298827756545
3275,17.761970013037892
2971,17.437258211295774
3571,16.964452726088677
1318,17.761970013037892
1298,19.909396318711146
319,18.376817232873147
2045,17.11478155761295
1694,17.38685777621893
3287,15.211901031389909
316,19.3695161421495
2627,17.761970013037892
3213,17.761970013037892
111,20.680775786368866
336,19.264905735051823
1556,17.912213736462856
793,18.116361260816948
1622,19.05830630333727
3553,16.648723960844016
75,20.96559928670034
3394,16.333207111220425
390,18.204683782323396
3229,17.610119607117863
3702,17.761970013037892
2120,17.981211720308828
756,18.785718737898097
651,19.44114546664207
2214,15.319588176962746
1094,18.42978364653267
2196,17.07958083302083
331,18.777314073025213
3638,17.761970013037892
2907,15.713237308730502
3057,17.539372622532557
3449,13.34199195844208
3480,13.569741724408969
1852,17.709060604095804
431,19.533591175254703
1949,17.87595358575207
3487,11.54960448922872
629,18.85263286675618
387,18.1323625492177
814,17.552108125616183
1621,16.731641080775596
1272,14.985007438798062
2815,17.241372681909727
3438,16.354850230530072
1904,17.281410478562346
3607,15.45730045544891
1070,19.07041104013391
3270,1.791759469228055
3669,17.761970013037892
2520,15.202085379751397
3752,17.761970013037892
787,17.281802681044816
1486,16.38114652580879
507,19.00501442081376
213,20.16291050136303
2847,15.158411391839309
2622,17.761970013037892
2407,15.434640153943825
2507,17.227686322710852
1547,18.600694297688488
2054,17.574072778865997
2709,15.76142084987672
3362,17.761970013037892
1878,17.505186694642365
2869,17.509942816683534
2090,16.6386465901644
108,19.970841767220247
3183,14.718288400603337
283,19.03037959595625
2508,17.742468243790547
527,18.425898925530607
3704,15.628091416420054
3713,14.151983508870948
3110,9.76841211133904
2294,17.62015962215299
178,19.903656022259423
